EXP:1100
('d', 6.183817)
('d', 1.592666)
('d', 0.777571)
('g', 4.809791)
('d', 1.791655)
('d', 0.587788)
('i', 0.81454)
('g', 0.734957)
('g', 0.337532)
('g', 0.336972)
('g', 0.599347)
('g', 0.416363)
('g', 0.319993)
('g', 0.385232)
('g', 0.615193)
('i', 0.390778)
('g', 0.334234)
('d', 1.026758)
('g', 0.736588)
('d', 0.746139)
('i', 0.479341)
('i', 0.334248)
('g', 0.382289)
('i', 0.341013)
('d', 0.454014)
('d', 0.519824)
('g', 0.263018)
('g', 0.235985)
('g', 0.334627)
('i', 0.372361)
('g', 0.408729)
('i', 0.520458)
('d', 0.463154)
('d', 0.370465)
('g', 0.37867)
('g', 0.250155)
('g', 0.260665)
('g', 0.278327)
('g', 0.622341)
('g', 0.288958)
('g', 0.372931)
('g', 0.373503)
('g', 0.254992)
('d', 0.370974)
('g', 0.338313)
('i', 0.473852)
('d', 0.519129)
('g', 0.881883)
('i', 0.524598)
('g', 0.489281)
('d', 0.422204)
('d', 0.317904)
('g', 0.520423)
('g', 0.399179)
('d', 0.365455)
('g', 0.282657)
('g', 0.269824)
('i', 0.416691)
('d', 0.340287)
('g', 0.272796)
('g', 9.372983)
('g', 0.343582)
('g', 2.577048)
('d', 0.391028)
('g', 0.261223)
('g', 0.323844)
('g', 0.295809)
('g', 0.256352)
('d', 0.385764)
('g', 0.324598)
('i', 0.460369)
('g', 0.233573)
('g', 0.410564)
('g', 0.220386)
('g', 0.23395)
('g', 0.283173)
('d', 0.407536)
('g', 0.290595)
('g', 0.224809)
('g', 0.240693)
('g', 0.269981)
('g', 0.243661)
('i', 0.366656)
('g', 0.278176)
('d', 0.443953)
('g', 0.329521)
('i', 0.341859)
('g', 0.97274)
('i', 1.45745)
('i', 0.714398)
('d', 0.430593)
('i', 0.378431)
('g', 0.324319)
('g', 0.253823)
('g', 0.245225)
('g', 0.258242)
('g', 0.230525)
('g', 0.280381)
('g', 0.255332)
('g', 0.244316)
('g', 0.262973)
('d', 0.408618)
('i', 0.3104)
('g', 0.268234)
('g', 0.342303)
('d', 0.368618)
('d', 0.447385)
('d', 0.568451)
('i', 0.87918)
('i', 0.460057)
('g', 0.33904)
('i', 0.40014)
('g', 0.405638)
('i', 0.347986)
('i', 0.498994)
('i', 0.337459)
('d', 0.523011)
('g', 0.374185)
('d', 0.411273)
('g', 0.341778)
('g', 0.383642)
('g', 0.58623)
('d', 0.482439)
('i', 0.5395)
('g', 0.274829)
('g', 0.276112)
('g', 0.284049)
('g', 0.265947)
('g', 0.290141)
('i', 0.435277)
('g', 0.291139)
('i', 0.324764)
('g', 0.58023)
('d', 0.346348)
('i', 0.346262)
('g', 0.369072)
('g', 0.215972)
('i', 0.348063)
('i', 1.321751)
('g', 0.248354)
('i', 0.306966)
('g', 0.242178)
('g', 0.297387)
('g', 0.265263)
('g', 0.309919)
('g', 0.236108)
('d', 0.385846)
('d', 0.435266)
('d', 0.570408)
('g', 0.622944)
('i', 0.439097)
('d', 0.422113)
('d', 0.451509)
('g', 0.272406)
('g', 0.280792)
('g', 0.248087)
('g', 0.262388)
('i', 0.410009)
('g', 0.251881)
('g', 0.267859)
('i', 0.961337)
('g', 0.260502)
('g', 0.250384)
('g', 0.295721)
('d', 0.406817)
('i', 0.849015)
('d', 0.422957)
('i', 0.354872)
('g', 0.395363)
('g', 0.235979)
('d', 0.419532)
('i', 0.297391)
('g', 0.311238)
('g', 0.28132)
('d', 0.348444)
('i', 0.444449)
('g', 0.637131)
('i', 0.402343)
('d', 0.436397)
('g', 0.321782)
('i', 0.37437)
('g', 0.356396)
('d', 0.376436)
('d', 0.395267)
('g', 0.301356)
('g', 0.273795)
('i', 0.67613)
('g', 0.268961)
('d', 0.385462)
('d', 0.319626)
('g', 0.360026)
('g', 0.246776)
('i', 0.32686)
('i', 0.621382)
('d', 0.337421)
('g', 0.247064)
('i', 0.342139)
('g', 0.280696)
('g', 0.288205)
('g', 0.235598)
('g', 0.221205)
('g', 0.255758)
('d', 0.325901)
('g', 0.259127)
('d', 0.424666)
('g', 0.362256)
('i', 0.431313)
('d', 0.324885)
('g', 0.374699)
('g', 0.258295)
('d', 0.430924)
('g', 0.254052)
('i', 0.596495)
('g', 0.30345)
('i', 0.368369)
('d', 0.447449)
('d', 0.441078)
('g', 0.498062)
('g', 0.329272)
('d', 5.841796)
('d', 0.463807)
('i', 0.35169)
('d', 0.604616)
('g', 0.520834)
('d', 0.316833)
('i', 0.549934)
('d', 0.307105)
('g', 0.4356)
('d', 3.467433)
('g', 0.411794)
('d', 0.3305)
('g', 0.259462)
('g', 0.234002)
('d', 0.284798)
('g', 0.212142)
('d', 0.319635)
('g', 0.235203)
('d', 0.356855)
('g', 0.221242)
('g', 0.267147)
('g', 0.251705)
('g', 0.237796)
('d', 0.317454)
('g', 0.252326)
('g', 0.258471)
('g', 0.235716)
('g', 0.234447)
('i', 0.320542)
('g', 0.2125)
('d', 0.405953)
('g', 0.307899)
('g', 0.249871)
('g', 0.259876)
('i', 0.363342)
('g', 0.286223)
('i', 0.3671)
('i', 0.367628)
('g', 0.281741)
('g', 0.279125)
('g', 0.284859)
('i', 0.379886)
('g', 0.279762)
('d', 0.326892)
('i', 0.33675)
('i', 0.306255)
('g', 0.310317)
('i', 0.334013)
('g', 0.253568)
('d', 0.35662)
('g', 0.312019)
('i', 0.317541)
('g', 0.310877)
('i', 0.391068)
('g', 0.292271)
('d', 0.374193)
('d', 0.409641)
('g', 0.282201)
('g', 0.224597)
('g', 0.228199)
('d', 0.363523)
('g', 0.239267)
('g', 0.226643)
('g', 0.211413)
('i', 0.295687)
('g', 0.255778)
('g', 0.254868)
('g', 0.313999)
('d', 0.399972)
('g', 0.263895)
('g', 0.317359)
('d', 0.324664)
('d', 0.277252)
('i', 0.360062)
('g', 0.314836)
('i', 0.394725)
('i', 0.322331)
('g', 0.290995)
('g', 0.249746)
('g', 0.238251)
('i', 0.330694)
('i', 0.370402)
('d', 0.300571)
('g', 0.239285)
('d', 0.337489)
('i', 0.316765)
('d', 0.3001)
('d', 0.302463)
('g', 0.255646)
('d', 2.092927)
('i', 0.424979)
('d', 0.347709)
('g', 0.258519)
('d', 0.382753)
('d', 0.32724)
('g', 0.248097)
('g', 0.24552)
('i', 0.376952)
('g', 0.281526)
('d', 0.3618)
('d', 0.381978)
('g', 0.266171)
('i', 0.347311)
('g', 0.27817)
('g', 0.24154)
('g', 0.25599)
('g', 3.018597)
('i', 0.414476)
('g', 0.297489)
('d', 0.355443)
('g', 0.296194)
('g', 0.282765)
('g', 0.291484)
('i', 0.365692)
('g', 0.348626)
('i', 0.334553)
('g', 0.257882)
('i', 0.360732)
('g', 0.23902)
('d', 0.437656)
('g', 0.249909)
('g', 0.258134)
('i', 0.417158)
('d', 0.359895)
('g', 0.234527)
('i', 0.368033)
('g', 0.267752)
('g', 0.240029)
('g', 0.299892)
('d', 0.579788)
('i', 0.415117)
('i', 0.423506)
('g', 0.289399)
('d', 0.409036)
('g', 0.31515)
('g', 0.264751)
('d', 0.317344)
('d', 0.553278)
('i', 0.508117)
('i', 0.450133)
('i', 0.462637)
('i', 0.600097)
('g', 0.262632)
('g', 0.268892)
('d', 0.352165)
('d', 0.348437)
('g', 0.308716)
('d', 0.390575)
('d', 0.404194)
('g', 0.236716)
('d', 0.350241)
('g', 0.282108)
('g', 0.219538)
('i', 0.3606)
('g', 0.322515)
('g', 0.239561)
('d', 0.361238)
('i', 0.42678)
('i', 0.424408)
('i', 0.407077)
('g', 0.226816)
('g', 0.305417)
('i', 0.327133)
('g', 0.362354)
('i', 0.369374)
('g', 0.309727)
('g', 0.364255)
('g', 0.220495)
('g', 0.238626)
('g', 0.322593)
('g', 0.245597)
('g', 0.254922)
('g', 0.260315)
('d', 0.362878)
('i', 0.393704)
('i', 0.414463)
('g', 0.287793)
('d', 0.332294)
('g', 0.334725)
('d', 0.386983)
('i', 0.39492)
('g', 0.258893)
('g', 0.248066)
('i', 0.353674)
('g', 0.270114)
('g', 0.317902)
('i', 0.356612)
('g', 0.271464)
('i', 0.38387)
('g', 0.264075)
('i', 0.34192)
('i', 0.382987)
('g', 0.350599)
('g', 0.248488)
('g', 0.29592)
('g', 0.220858)
('g', 0.231179)
('g', 0.303897)
('i', 0.332892)
('g', 0.281052)
('d', 0.359587)
('g', 0.251685)
('g', 0.261013)
('g', 0.235049)
('g', 0.333906)
('g', 0.237315)
('i', 0.341204)
('g', 0.292363)
('g', 0.242641)
('i', 0.352649)
('i', 0.426287)
('g', 0.317922)
('i', 0.36511)
('d', 0.313633)
('i', 0.407005)
('d', 0.353355)
('g', 0.23503)
('g', 0.239124)
('i', 0.378303)
('i', 0.366765)
('g', 0.319279)
('i', 0.35316)
('g', 0.251412)
('d', 0.384791)
('g', 0.252271)
('i', 0.367612)
